ID,FHL_DICT_Numeric,FHL_DICT_Unicode,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
19606,tho3-ho2,thò-hó,紽好,,,,
19607,tho3,thò,紽,,,,
19608,thoi3-chhien3,thòi-chhièn,台前,,,,
19609,thoi3-chhung5,thòi-chhûng,抬重,,,,
19610,thoi3-tang2,thòi-táng,臺頂,,,,
19611,thoi3-e3,thòi-è,檯仔,,,,
19612,thon3-chhut,thòn-chhut,揣出,,,,
19613,thon3-khe,thòn-khe,團契,,,,
19614,thon3-khon,thòn-khon,揣看,,,,
19615,thon3-kiet,thòn-kiet,團結,,,,
19616,thon3-thi2,thòn-thí,團體,,,,
19617,thon3-thon3,thòn-thòn,團團,,,,
19618,thon3,thòn,揣,,,,
19619,thong3-fong3,thòng-fòng,堂皇,,,,
19620,thong3-ngo3,thòng-ngò,塘鵝,,,,
19621,thong3,thòng,堂,,,,
19622,thu3-chai2-chhong3,thù-chái-chhòng,屠宰場,,,,
19623,thu3-chung5,thù-chûng,途中,,,,
19624,thu3-fa,thù-fa,圖畫,,,,
19625,thu3-hin3,thù-hìn,圖形,,,,
19626,thu3-meu3,thù-mèu,圖謀,,,,
19627,thu3-on,thù-on,圖案,,,,
19628,thu3-sat,thù-sat,屠殺,,,,
19629,thu3-yong,thù-yong,圖樣,,,,
19630,thu3-yen3,thù-yèn,徒然,,,,
19631,thu3,thù,圖,,,,
19632,thun3-ko5,thùn-kô,坉高,,,,
19633,thun3-man5,thùn-mân,坉滿,,,,
19634,thun3-nem5,thùn-nêm,坉淰,,,,
19635,thun3-nai3,thùn-nài,囤泥,,,,
19636,thun3-phiang3,thùn-phiàng,囤平,,,,
19637,thun3-thet,thùn-thet,坉掉,,,,
19638,thun3-to,thùn-to,坉到,,,,
19639,thun3,thùn,坉,,,,
19640,thung3-ng2,thùng-ńg,童女,,,,
19641,thung3-chau2,thùng-cháu,銅爪,,,,
19642,thung3-chhuk8,thùng-chhu̍k,同族,,,,
19643,thung3-chhai,thùng-chhai,同在,,,,
19644,thung3-chhiong5,thùng-chhiông,銅槍,,,,
19645,thung3-chhien3,thùng-chhièn,銅錢,,,,
19646,thung3-chhiong3,thùng-chhiòng,銅牆,,,,
19647,thung3-chho,thùng-chho,銅座,,,,
19648,thung3-chhu5,thùng-chhû,銅柱,,,,
19649,thung3-chhin3-sim5,thùng-chhìn-sîm,同情心,,,,
19650,thung3-chhin3,thùng-chhìn,同情,,,,
19651,thung3-chhong3,thùng-chhòng,同床,,,,
19652,thung3-chien,thùng-chien,銅箭,,,,
19653,thung3-cho,thùng-cho,銅做,,,,
19654,thung3-chok,thùng-chok,同桌,,,,
19655,thung3-chii,thùng-chṳ,銅製,,,,
19656,thung3-chiin5-ng2,thùng-chṳ̂n-ńg,童貞女,,,,
19657,thung3-chiin5,thùng-chṳ̂n,童貞,,,,
19658,thung3-fong3,thùng-fòng,同房,,,,
19659,thung3-hoi2,thùng-hói,銅海,,,,
19660,thung3-hiong2,thùng-hióng,同享,,,,
19661,thung3-hi,thùng-hi,銅器,,,,
19662,thung3-hiong5,thùng-hiông,同鄉,,,,
19663,thung3-hang3,thùng-hàng,同行,,,,
19664,thung3-kon2,thùng-kón,銅管,,,,
19665,thung3-kap,thùng-kap,銅甲,,,,
19666,thung3-khong2,thùng-khóng,銅礦,,,,
19667,thung3-khu2,thùng-khú,同苦,,,,
19668,thung3-khien5,thùng-khiên,銅圈,,,,
19669,thung3-khui5,thùng-khûi,銅盔,,,,
19670,thung3-kiang,thùng-kiang,銅鏡,,,,
19671,thung3-kiok,thùng-kiok,銅腳,,,,
19672,thung3-kun,thùng-kun,銅棍,,,,
19673,thung3-kam5,thùng-kâm,同甘,,,,
19674,thung3-ki5,thùng-kî,同居,,,,
19675,thung3-kung5,thùng-kûng,同工,,,,
19676,thung3-lok8,thùng-lo̍k,同樂,,,,
19677,thung3-lien,thùng-lien,銅鍊,,,,
19678,thung3-liau3,thùng-liàu,同僚,,,,
19679,thung3-liu3,thùng-liù,同流,,,,
19680,thung3-lu5,thùng-lû,銅鹵,,,,
19681,thung3-lo3,thùng-lò,銅鑼,,,,
19682,thung3-loi3,thùng-lòi,同來,,,,
19683,thung3-miong2,thùng-mióng,銅網,,,,
19684,thung3-mo,thùng-mo,銅帽,,,,
19685,thung3-men3-koet,thùng-mèn-koet,同盟國,,,,
19686,thung3-men3,thùng-mèn,同盟,,,,
19687,thung3-meu3,thùng-mèu,同謀,,,,
19688,thung3-mun3,thùng-mùn,銅門,,,,
19689,thung3-ngiap8,thùng-ngia̍p,同業,,,,
19690,thung3-ngin,thùng-ngin,同認,,,,
19691,thung3-ngien3,thùng-ngièn,同年,,,,
19692,thung3-ngiu3,thùng-ngiù,銅牛,,,,
19693,thung3-nam3,thùng-nàm,童男,,,,
19694,thung3-phuk8,thùng-phu̍k,童僕,,,,
19695,thung3-phi,thùng-phi,同輩,,,,
19696,thung3-phu,thùng-phu,同步,,,,
19697,thung3-phan5,thùng-phân,同伴,,,,
19698,thung3-phi3,thùng-phì,銅皮,,,,
19699,thung3-phun3-chho,thùng-phùn-chho,銅盆座,,,,
19700,thung3-phun3,thùng-phùn,銅盆,,,,
19701,thung3-piong5,thùng-piông,銅枋,,,,
19702,thung3-pau5,thùng-pâu,同胞,,,,
19703,thung3-suk8,thùng-su̍k,同屬,,,,
19704,thung3-sin-lien,thùng-sin-lien,同性戀,,,,
19705,thung3-sin,thùng-sin,同性,,,,
19706,thung3-sin,thùng-sin,同信,,,,
19707,thung3-siong,thùng-siong,銅像,,,,
19708,thung3-sii,thùng-sṳ,同事,,,,
19709,thung3-san5,thùng-sân,銅山,,,,
19710,thung3-sang5,thùng-sâng,同聲,,,,
19711,thung3-sim5,thùng-sîm,同心,,,,
19712,thung3-sa3,thùng-sà,銅蛇,,,,
19713,thung3-sii3,thùng-sṳ̀,同時,,,,
19714,thung3-tang2,thùng-táng,銅頂,,,,
19715,thung3-tong2,thùng-tóng,同黨,,,,
19716,thung3-thi2,thùng-thí,同體,,,,
19717,thung3-thiet,thùng-thiet,銅鐵,,,,
19718,thung3-thiau3,thùng-thiàu,銅條,,,,
19719,thung3-tho,thùng-tho,同道,,,,
19720,thung3-thai3,thùng-thài,銅蹄,,,,
19721,thung3-than3,thùng-thàn,銅壇,,,,
19722,thung3-thoi3,thùng-thòi,銅臺,,,,
19723,thung3-tam5,thùng-tâm,同擔,,,,
19724,thung3-von2,thùng-vón,銅碗,,,,
19725,thung3-yi,thùng-yi,同意,,,,
19726,thung3-yit,thùng-yit,同一,,,,
19727,thung3-yu3,thùng-yù,桐油,,,,
19728,thung3-e3,thùng-è,銅仔,,,,
19729,thung3,thùng,同,,,,
19730,thung3-hi,thùng-hi,同氣,,,,
19731,thung3-yu3,thùng-yù,同憂,,,,
19732,thung3,thùng,銅,,,,
19733,tiam2-chhok8,tiám-chho̍k,點chhok8,,,,
19734,tiam2-chhut,tiám-chhut,點出,,,,
19735,tiam2-chhe3,tiám-chhè,點齊,,,,
19736,tiam2-chung5,tiám-chûng,點鐘,,,,
19737,tiam2-fo2,tiám-fó,點火,,,,
19738,tiam2-ho2,tiám-hó,點好,,,,
19739,tiam2-hiong5,tiám-hiông,點香,,,,
19740,tiam2-miang3,tiám-miàng,點名,,,,
19741,tiam2-ngien2,tiám-ngién,點眼,,,,
19742,tiam2-son,tiám-son,點算,,,,
19743,tiam2-ten2,tiám-tén,點著,,,,
19744,tiam2-tiam2,tiám-tiám,點點,,,,
19745,tiam2-to,tiám-to,點到,,,,
19746,tiam2-ten5,tiám-tên,點燈,,,,
19747,tiam2,tiám,點,,,,
19748,tien2-chong5,tién-chông,典章,,,,
19749,tien2-li5,tién-lî,典禮,,,,
19750,tien2,tién,展,,,,
19751,tiap8-e2,tia̍p-é,碟仔,,,,
19752,ti-koet,ti-koet,帝國,,,,
19753,tiam-e2,tiam-é,店仔,,,,
19754,tiam-hong,tiam-hong,店項,,,,
19755,tiam-mi-e2,tiam-mi-é,墊溺仔,,,,
19756,tiam-tu2,tiam-tú,店肚,,,,
19757,tiau-chon2,tiau-chón,調轉,,,,
19758,tiau-hi2,tiau-hí,吊起,,,,
19759,tiau-kiang2,tiau-kiáng,吊頸,,,,
19760,tiau-loi3,tiau-lòi,調來,,,,
19761,tiau-phai,tiau-phai,調派,,,,
19762,tiau-pin5,tiau-pîn,釣竿,,,,
19763,tiau-si2,tiau-sí,吊死,,,,
19764,tiau-sok,tiau-sok,吊索,,,,
19765,tiau-ten2,tiau-tén,吊著,,,,
19766,tiau-to2,tiau-tó,釣到,,,,
19767,tiau-thung,tiau-thung,調動,,,,
19768,tiau-to,tiau-to,調到,,,,
19769,tiau-vi,tiau-vi,弔慰,,,,
19770,tiau-ng3,tiau-ǹg,釣魚,,,,
19771,tiau,tiau,吊,,,,
19772,tiau,tiau,調,,,,
19773,tiau,tiau,釣,,,,
19774,tiet-cho,tiet-cho,跌做,,,,
19775,tiet-ha5-loi3,tiet-hâ-lòi,跌下來,,,,
19776,tiet-ha5,tiet-hâ,跌下,,,,
19777,tiet-lok8,tiet-lo̍k,跌落,,,,
19778,tiet-ngip8,tiet-ngi̍p,跌入,,,,
19779,tiet-si2,tiet-sí,跌死,,,,
19780,tiet-to2,tiet-tó,跌倒,,,,
19781,tiet-thet,tiet-thet,跌掉,,,,
19782,tiet-thon5,tiet-thôn,跌斷,,,,
19783,tiet-to,tiet-to,跌到,,,,
19784,tiet,tiet,跌,,,,
19785,tin-tin,tin-tin,叮叮,,,,
19786,tin-tin,tin-tin,汀汀,,,,
19787,tit-chiu2,tit-chiú,滴酒,,,,
19788,tit-ha5,tit-hâ,滴下,,,,
19789,tit-khok,tit-khok,的確,,,,
19790,tit-lok8,tit-lo̍k,滴落,,,,
19791,tit-to,tit-to,滴到,,,,
19792,tit,tit,滴,,,,
19793,tiam5-chhin,tiâm-chhin,恬靜,,,,
19794,tiam5-thet,tiâm-thet,恬掉,,,,
19795,tiam5-tiam5-e2,tiâm-tiâm-é,恬恬仔,,,,
19796,tiam5-tiam5,tiâm-tiâm,恬恬,,,,
19797,tiam5,tiâm,恬,,,,
19798,tiau5-e2,tiâu-é,鳥仔,,,,
19799,tiau5-chii2,tiâu-chṳ́,鳥子,,,,
19800,tiau5-chhan3,tiâu-chhàn,凋殘,,,,
19801,tiau5-khiet,tiâu-khiet,雕刻,,,,
19802,tiau5-lui,tiâu-lui,鳥類,,,,
19803,tiau5-ma3,tiâu-mà,鳥ma3,,,,
19804,tiau5-nan3,tiâu-nàn,刁難,,,,
19805,tiau5-sak8,tiâu-sa̍k,雕石,,,,
19806,tiau5-siong,tiâu-siong,雕像,,,,
19807,tiau5-siin5,tiâu-sṳ̂n,鳥身,,,,
19808,tiau5-teu,tiâu-teu,鳥藪,,,,
19809,tiau5,tiâu,鳥,,,,
19810,tiau5,tiâu,雕,,,,
19811,tiau5,tiâu,鵰,,,,
19812,tien5-e2,tiên-é,癲仔,,,,
19813,tien5-fa,tiên-fa,癲話,,,,
19814,tien5-khong3,tiên-khòng,癲狂,,,,
19815,tien5-kieu2,tiên-kiéu,癲狗,,,,
19816,tien5-to2,tiên-tó,癲倒,,,,
19817,tien5-thet,tiên-thet,癲掉,,,,
19818,tien5-tien5,tiên-tiên,顛顛,,,,
19819,tien5-tien5,tiên-tiên,癲癲,,,,
19820,tien5-to-fan2,tiên-to-fán,顛倒反,,,,
19821,tien5-to-theu3,tiên-to-thèu,顛倒頭,,,,
19822,tien5-to,tiên-to,顛倒,,,,
19823,tien5-to2,tiên-tó,顛倒,,,,
19824,tiu5,tiû,丟,,,,
19825,tio3-hi,tiò-hi,蹂去,,,,
19826,tio3-loi3,tiò-lòi,蹂來,,,,
19827,tio3-si2,tiò-sí,蹈死,,,,
19828,tio3,tiò,蹂,,,,
19829,to-am,to-am,到暗,,,,
19830,to-chon2,to-chón,倒轉,,,,
19831,to-chho2,to-chhó,倒草,,,,
19832,to-chhu,to-chhu,到處,,,,
19833,to-chhe3,to-chhè,到齊,,,,
19834,to-chiuk,to-chiuk,到足,,,,
19835,to-kiok,to-kiok,到腳,,,,
19836,to-ko,to-ko,到過,,,,
19837,to-kim5,to-kîm,到今,,,,
19838,to-lo2,to-ló,到老,,,,
19839,to-liau2,to-liáu,到了,,,,
19840,to-loi3,to-lòi,到來,,,,
19841,to-mi5,to-mî,到尾,,,,
19842,to-mun3,to-mùn,到門,,,,
19843,to-ngim,to-ngim,到任,,,,
19844,to-nam3,to-nàm,到南,,,,
19845,to-pau2,to-páu,到飽,,,,
19846,to-pet,to-pet,到北,,,,
19847,to-si2,to-sí,到死,,,,
19848,to-se,to-se,到細,,,,
19849,to-si5,to-sî,到西,,,,
19850,to-sii3,to-sṳ̀,到時,,,,
19851,to-tai2,to-tái,到底,,,,
19852,to-thai,to-thai,到大,,,,
19853,to-thui,to-thui,倒退,,,,
19854,to-theu3,to-thèu,到頭,,,,
19855,to-to,to-to,到到,,,,
19856,to-yu,to-yu,到幼,,,,
19857,to,to,到,,,,
19858,to,to,倒,,,,
19859,tok-ngok,tok-ngok,愣愕,,,,
