ID,FHL_DICT_Numeric,FHL_DICT_Unicode,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
5633,chhan3-hoi,chhàn-hoi,殘害,,,,
5634,chhan3-ngiun5,chhàn-ngiûn,殘忍,,,,
5635,chhan3-pan,chhàn-pan,纏絆,,,,
5636,chhan3-phau,chhàn-phau,殘暴,,,,
5637,chhan3-pau5,chhàn-pâu,蠶包,,,,
5638,chhan3-sat,chhàn-sat,殘殺,,,,
5639,chhan3-sii5,chhàn-sṳ̂,蠶絲,,,,
5640,chhan3-siin5,chhàn-sṳ̂n,纏身,,,,
5641,chhan3-ten2,chhàn-tén,纏著,,,,
5642,chhan3-to2,chhàn-tó,纏到,,,,
5643,chhan3-teu,chhàn-teu,纏鬥,,,,
5644,chhan3-to,chhàn-to,纏到,,,,
5645,chhan3,chhàn,纏,,,,
5646,chhang3-thu,chhàng-thu,程度,,,,
5647,chhau3-chhau3,chhàu-chhàu,吵吵,,,,
5648,chhau3-fan3,chhàu-fàn,慒煩,,,,
5649,chhau3-nau,chhàu-nau,吵鬧,,,,
5650,chhau3-ngin3,chhàu-ngìn,吵人,,,,
5651,chhau3-siang2,chhàu-siáng,吵醒,,,,
5652,chhau3-sang5,chhàu-sâng,吵聲,,,,
5653,chhau3-ten2,chhàu-tén,吵著,,,,
5654,chhau3-to2,chhàu-tó,吵到,,,,
5655,chhau3,chhàu,吵,,,,
5656,chhau3,chhàu,慒,,,,
5657,chhe3-chhion3,chhè-chhiòn,齊全,,,,
5658,chhe3-chhut,chhè-chhut,齊出,,,,
5659,chhe3-loi3,chhè-lòi,齊來,,,,
5660,chhe3-phi,chhè-phi,齊備,,,,
5661,chhe3-sip8,chhè-si̍p,齊集,,,,
5662,chhe3-sang5,chhè-sâng,齊聲,,,,
5663,chhe3,chhè,齊,,,,
5664,chhen3,chhèn,層,,,,
5665,chheu3-fo2,chhèu-fó,柴火,,,,
5666,chheu3-fuk8,chhèu-fu̍k,朝服,,,,
5667,chheu3-kien,chhèu-kien,朝見,,,,
5668,chheu3-liu3,chhèu-liù,潮流,,,,
5669,chheu3-pai,chhèu-pai,朝拜,,,,
5670,chheu3-sak,chhèu-sak,柴析,,,,
5671,chheu3-siin,chhèu-sṳn,朝聖,,,,
5672,chheu3-tang2,chhèu-táng,柴頂,,,,
5673,chheu3-thet,chhèu-thet,焦悼,,,,
5674,chheu3-thoi,chhèu-thoi,朝代,,,,
5675,chheu3,chhèu,柴,,,,
5676,chhi3-ku5,chhì-kû,鰭鮕,,,,
5677,chhi3-tai,chhì-tai,臍帶,,,,
5678,chhim3-chau2,chhìm-cháu,尋找,,,,
5679,chhim3-chon2,chhìm-chón,尋轉,,,,
5680,chhim3-chhok8,chhìm-chho̍k,尋著,,,,
5681,chhim3-chhien3,chhìm-chhièn,尋錢,,,,
5682,chhim3-chhut,chhìm-chhut,尋出,,,,
5683,chhim3-chien,chhìm-chien,尋箭,,,,
5684,chhim3-fi3,chhìm-fì,尋回,,,,
5685,chhim3-hi,chhìm-hi,尋去,,,,
5686,chhim3-khiu3,chhìm-khiù,尋求,,,,
5687,chhim3-khon,chhìm-khon,尋看,,,,
5688,chhim3-lu,chhìm-lu,尋路,,,,
5689,chhim3-loi3,chhìm-lòi,尋來,,,,
5690,chhim3-mo3,chhìm-mò,尋無,,,,
5691,chhim3-phien5,chhìm-phiên,尋遍,,,,
5692,chhim3-si2,chhìm-sí,尋死,,,,
5693,chhim3-siit8,chhìm-sṳ̍t,尋食,,,,
5694,chhim3-to2,chhìm-tó,尋到,,,,
5695,chhim3-theu,chhìm-theu,尋透,,,,
5696,chhim3-teu5,chhìm-têu,尋兜,,,,
5697,chhim3-yong3,chhìm-yòng,尋羊,,,,
5698,chhim3,chhìm,尋,,,,
5699,chhin3-fu,chhìn-fu,情婦,,,,
5700,chhin3-fun,chhìn-fun,情分,,,,
5701,chhin3-hin3,chhìn-hìn,情形,,,,
5702,chhin3-kam2,chhìn-kám,情感,,,,
5703,chhin3-kin2,chhìn-kín,情景,,,,
5704,chhin3-khong2,chhìn-khóng,情況,,,,
5705,chhin3-li5,chhìn-lî,情理,,,,
5706,chhin3-long3,chhìn-lòng,情郎,,,,
5707,chhin3-mien,chhìn-mien,情面,,,,
5708,chhin3-ngi,chhìn-ngi,情義,,,,
5709,chhin3-ngien,chhìn-ngien,情願,,,,
5710,chhin3-yuk8,chhìn-yu̍k,情慾,,,,
5711,chhin3-yi,chhìn-yi,情意,,,,
5712,chhin3,chhìn,情,,,,
5713,chho3-pien5,chhò-piên,槽邊,,,,
5714,chho3-tai2,chhò-tái,槽底,,,,
5715,chho3-e3,chhò-è,槽仔,,,,
5716,chho3,chhò,槽,,,,
5717,chhoi3-e2,chhòi-é,財仔,,,,
5718,chhoi3-chu2,chhòi-chú,財主,,,,
5719,chhoi3-chhin3,chhòi-chhìn,才情,,,,
5720,chhoi3-chii,chhòi-chṳ,才智,,,,
5721,chhoi3-chiin,chhòi-chṳn,財政,,,,
5722,chhoi3-fu,chhòi-fu,財富,,,,
5723,chhoi3-hok8,chhòi-ho̍k,才學,,,,
5724,chhoi3-ko,chhòi-ko,才過,,,,
5725,chhoi3-kon,chhòi-kon,才幹,,,,
5726,chhoi3-lit8,chhòi-li̍t,財力,,,,
5727,chhoi3-liau,chhòi-liau,材料,,,,
5728,chhoi3-ngien3,chhòi-ngièn,財源,,,,
5729,chhoi3-nen3,chhòi-nèn,才能,,,,
5730,chhoi3-po2,chhòi-pó,財寶,,,,
5731,chhoi3-san2,chhòi-sán,財產,,,,
5732,chhoi3-sii,chhòi-sṳ,財勢,,,,
5733,chhoi3-su5,chhòi-sû,才疏,,,,
5734,chhoi3-thiau,chhòi-thiau,才調,,,,
5735,chhoi3-vut8,chhòi-vu̍t,財物,,,,
5736,chhoi3-yi,chhòi-yi,財譽,,,,
5737,chhoi3,chhòi,財,,,,
5738,chhon3-chung2,chhòn-chúng,傳種,,,,
5739,chhon3-chhut,chhòn-chhut,傳出,,,,
5740,chhon3-chhin3,chhòn-chhìn,傳情,,,,
5741,chhon3-chung5,chhòn-chûng,傳宗,,,,
5742,chhon3-fa,chhòn-fa,傳話,,,,
5743,chhon3-ha5,chhòn-hâ,傳下,,,,
5744,chhon3-kong2,chhòn-kóng,傳講,,,,
5745,chhon3-kau,chhòn-kau,傳教,,,,
5746,chhon3-khoi5,chhòn-khôi,傳開,,,,
5747,chhon3-ko,chhòn-ko,傳過,,,,
5748,chhon3-lin-kon5,chhòn-lin-kôn,傳令官,,,,
5749,chhon3-loi3,chhòn-lòi,傳來,,,,
5750,chhon3-ngip8,chhòn-ngi̍p,傳入,,,,
5751,chhon3-ngiam-phiang,chhòn-ngiam-phiang,傳染病,,,,
5752,chhon3-ngiam-sin,chhòn-ngiam-sin,傳染性,,,,
5753,chhon3-ngiam,chhòn-ngiam,傳染,,,,
5754,chhon3-phien,chhòn-phien,傳遍,,,,
5755,chhon3-po,chhòn-po,傳報,,,,
5756,chhon3-po5,chhòn-pô,傳播,,,,
5757,chhon3-pun5,chhòn-pûn,傳給,,,,
5758,chhon3-seu,chhòn-seu,傳召,,,,
5759,chhon3-sot,chhòn-sot,傳說,,,,
5760,chhon3-su,chhòn-su,傳授,,,,
5761,chhon3-sung,chhòn-sung,傳送,,,,
5762,chhon3-thung2,chhòn-thúng,傳統,,,,
5763,chhon3-that8,chhòn-tha̍t,傳達,,,,
5764,chhon3-tho-su5,chhòn-tho-sû,傳道書,,,,
5765,chhon3-tho,chhòn-tho,傳道,,,,
5766,chhon3-to,chhòn-to,傳到,,,,
5767,chhon3-yong3,chhòn-yòng,傳揚,,,,
5768,chhon3-m3-to,chhòn-m̀-to,傳毋到,,,,
5769,chhon3,chhòn,傳,,,,
5770,chhong3-chhai,chhòng-chhai,長在,,,,
5771,chhong3-chhiu,chhòng-chhiu,長袖,,,,
5772,chhong3-chhiang5,chhòng-chhiâng,長青,,,,
5773,chhong3-chhiong5-su2,chhòng-chhiông-sú,長槍手,,,,
5774,chhong3-chhii,chhòng-chhṳ,長治,,,,
5775,chhong3-chhung,chhòng-chhung,長槍,,,,
5776,chhong3-chhong3,chhòng-chhòng,長長,,,,
5777,chhong3-chhun3,chhòng-chhùn,長存,,,,
5778,chhong3-kau,chhòng-kau,長覺,,,,
5779,chhong3-khiun3,chhòng-khiùn,長裙,,,,
5780,chhong3-khi3,chhòng-khì,長期,,,,
5781,chhong3-kiu2,chhòng-kiú,長久,,,,
5782,chhong3-kok,chhòng-kok,長角,,,,
5783,chhong3-kin5,chhòng-kîn,床巾,,,,
5784,chhong3-kung5,chhòng-kûng,長工,,,,
5785,chhong3-liu3,chhòng-liù,腸流,,,,
5786,chhong3-miang,chhòng-miang,長命,,,,
5787,chhong3-mau3,chhòng-màu,長矛,,,,
5788,chhong3-ngien3,chhòng-ngièn,長年,,,,
5789,chhong3-phien5,chhòng-phiên,長篇,,,,
5790,chhong3-phau3,chhòng-phàu,長袍,,,,
5791,chhong3-pien5,chhòng-piên,床邊,,,,
5792,chhong3-so2,chhòng-só,場所,,,,
5793,chhong3-song,chhòng-song,床上,,,,
5794,chhong3-su,chhòng-su,長壽,,,,
5795,chhong3-sam5,chhòng-sâm,長衫,,,,
5796,chhong3-sang5,chhòng-sâng,長聲,,,,
5797,chhong3-sen5,chhòng-sên,長生,,,,
5798,chhong3-sii5,chhòng-sṳ̂,長詩,,,,
5799,chhong3-ton2,chhòng-tón,長短,,,,
5800,chhong3-tu2,chhòng-tú,腸肚,,,,
5801,chhong3-theu,chhòng-theu,長透,,,,
5802,chhong3-to,chhòng-to,長到,,,,
5803,chhong3-tan5,chhòng-tân,床單,,,,
5804,chhong3-yen2,chhòng-yén,長遠,,,,
5805,chhong3-ya,chhòng-ya,長夜,,,,
5806,chhong3-yim5,chhòng-yîm,長音,,,,
5807,chhong3-e3,chhòng-è,腸仔,,,,
5808,chhong3,chhòng,長,,,,
5809,chhong3,chhòng,床,,,,
5810,chhong3,chhòng,腸,,,,
5811,chhii3-chhiang,chhṳ̀-chhiang,chhii3淨,,,,
5812,chhii3-chhii3,chhṳ̀-chhṳ̀,痴痴,,,,
5813,chhii3-chung5,chhṳ̀-chûng,池中,,,,
5814,chhii3-fu,chhṳ̀-fu,慈父,,,,
5815,chhii3-ho2,chhṳ̀-hó,chhii3好,,,,
5816,chhii3-hi,chhṳ̀-hi,chhii3去,,,,
5817,chhii3-hoi,chhṳ̀-hoi,chhii3害,,,,
5818,chhii3-hem5,chhṳ̀-hêm,chhii3喊,,,,
5819,chhii3-kieu2,chhṳ̀-kiéu,chhii3狗,,,,
5820,chhii3-ki,chhṳ̀-ki,詞句,,,,
5821,chhii3-kiang5,chhṳ̀-kiâng,痴驚,,,,
5822,chhii3-ko,chhṳ̀-ko,chhii3過,,,,
5823,chhii3-kong5,chhṳ̀-kông,慈光,,,,
5824,chhii3-loi3,chhṳ̀-lòi,chhii3來,,,,
5825,chhii3-mu5,chhṳ̀-mû,慈母,,,,
5826,chhii3-ngiu3,chhṳ̀-ngiù,chhii3牛,,,,
5827,chhii3-ngin3-chhui,chhṳ̀-ngìn-chhui,chhii3人罪,,,,
5828,chhii3-ngin3,chhṳ̀-ngìn,chhii3人,,,,
5829,chhii3-ngoi3,chhṳ̀-ngòi,癡呆,,,,
5830,chhii3-oi,chhṳ̀-oi,慈愛,,,,
5831,chhii3-phet8,chhṳ̀-phe̍t,辭別,,,,
5832,chhii3-pien5,chhṳ̀-piên,池邊,,,,
5833,chhii3-pi5,chhṳ̀-pî,慈悲,,,,
5834,chhii3-si2,chhṳ̀-sí,chhii3死,,,,
5835,chhii3-su2,chhṳ̀-sú,持守,,,,
5836,chhii3-san,chhṳ̀-san,慈善,,,,
5837,chhii3-siuk8,chhṳ̀-siu̍k,持續,,,,
5838,chhii3-siong3,chhṳ̀-siòng,慈祥,,,,
5839,chhii3-sang5,chhṳ̀-sâng,慈聲,,,,
5840,chhii3-sim5,chhṳ̀-sîm,慈心,,,,
5841,chhii3-to2,chhṳ̀-tó,chhii3到,,,,
5842,chhii3-thet,chhṳ̀-thet,chhii3掉,,,,
5843,chhii3-to,chhṳ̀-to,chhii3到,,,,
5844,chhii3-vang,chhṳ̀-vang,chhii3橫,,,,
5845,chhii3-yang3,chhṳ̀-yàng,chhii3贏,,,,
5846,chhii3-yen3,chhṳ̀-yèn,遲延,,,,
5847,chhii3-yung3,chhṳ̀-yùng,慈容,,,,
5848,chhii3-en5,chhṳ̀-ên,慈恩,,,,
5849,chhii3,chhṳ̀,chhii3,,,,
5850,chhii3,chhṳ̀,辭,,,,
5851,chhii3,chhṳ̀,慈,,,,
5852,chhiim3-chhung,chhṳ̀m-chhung,沉重,,,,
5853,chhiim3-chhiim3,chhṳ̀m-chhṳ̀m,沈沈,,,,
5854,chhiim3-chui,chhṳ̀m-chui,沈醉,,,,
5855,chhiim3-hiong5,chhṳ̀m-hiông,沉香,,,,
5856,chhiim3-lok8,chhṳ̀m-lo̍k,沉落,,,,
5857,chhiim3-lun3,chhṳ̀m-lùn,沉淪,,,,
5858,chhiim3-ngip8,chhṳ̀m-ngi̍p,沉入,,,,
5859,chhiim3-sii,chhṳ̀m-sṳ,塵世,,,,
5860,chhiim3-son3,chhṳ̀m-sòn,沉船,,,,
5861,chhiim3-ten2,chhṳ̀m-tén,沈著,,,,
5862,chhiim3-thuk8,chhṳ̀m-thu̍k,沉毒,,,,
5863,chhiim3-thet,chhṳ̀m-thet,沉掉,,,,
5864,chhiim3-to,chhṳ̀m-to,沉到,,,,
5865,chhiim3,chhṳ̀m,沉,,,,
5866,chhiin3-chhin3,chhṳ̀n-chhìn,陳情,,,,
5867,chhiin3-foi5,chhṳ̀n-fôi,塵灰,,,,
5868,chhiin3-phuk8,chhṳ̀n-phu̍k,臣僕,,,,
5869,chhiin3-pun5,chhṳ̀n-pûn,呈給,,,,
5870,chhiin3-thu2,chhṳ̀n-thú,塵土,,,,
5871,chhu3-chhiang,chhù-chhiang,除淨,,,,
5872,chhu3-chhin,chhù-chhin,除盡,,,,
5873,chhu3-chhui,chhù-chhui,除罪,,,,
5874,chhu3-chhin5,chhù-chhîn,除清,,,,
5875,chhu3-fi5,chhù-fî,除非,,,,
5876,chhu3-hi,chhù-hi,除去,,,,
5877,chhu3-kau-chiet,chhù-kau-chiet,除酵節,,,,
5878,chhu3-liau2,chhù-liáu,除了,,,,
5879,chhu3-met8,chhù-me̍t,除滅,,,,
5880,chhu3-miang3,chhù-miàng,除名,,,,
5881,chhu3-ngin3-vo5,chhù-ngìn-vô,chhu3人窩,,,,
5882,chhu3-pu,chhù-pu,綢布,,,,
5883,chhu3-sii5,chhù-sṳ̂,廚師,,,,
5884,chhu3-thet,chhù-thet,除掉,,,,
5885,chhu3-vu5-sui2,chhù-vû-súi,除污水,,,,
5886,chhu3,chhù,除,,,,
5887,chhui3-chhut,chhùi-chhut,捶出,,,,
5888,chhui3-hiung5,chhùi-hiûng,捶胸,,,,
5889,chhui3-khon,chhùi-khon,垂看,,,,
5890,chhui3-mien3,chhùi-mièn,捶糜,,,,
5891,chhui3-mun3,chhùi-mùn,捶門,,,,
5892,chhui3-sii5,chhùi-sṳ̂,垂絲,,,,
5893,chhui3-ta2,chhùi-tá,捶打,,,,
5894,chhui3-ten2,chhùi-tén,捶著,,,,
5895,chhui3-thang5,chhùi-thâng,垂聽,,,,
5896,chhui3-to,chhùi-to,捶到,,,,
5897,chhui3-e3,chhùi-è,鎚仔,,,,
5898,chhui3,chhùi,捶,,,,
5899,chhui3-e3,chhùi-è,槌仔,,,,
5900,chhui3,chhùi,鎚,,,,
5901,chhun3-chhai,chhùn-chhai,存在,,,,
5902,chhun3-chiu2,chhùn-chiú,春酒,,,,
5903,chhun3-liong3,chhùn-liòng,存糧,,,,
5904,chhun3-liu3,chhùn-liù,存留,,,,
5905,chhun3-ngip8,chhùn-ngi̍p,存入,,,,
5906,chhun3-siuk8,chhùn-siu̍k,存續,,,,
5907,chhun3-sim5,chhùn-sîm,存心,,,,
5908,chhun3-to2,chhùn-tó,存到,,,,
5909,chhun3-to,chhùn-to,存到,,,,
5910,chhun3,chhùn,存,,,,
5911,chhung3-cheu2,chhùng-chéu,沖走,,,,
5912,chhung3-chiin2,chhùng-chṳ́n,重整,,,,
5913,chhung3-fuk8,chhùng-fu̍k,重覆,,,,
5914,chhung3-hi2,chhùng-hí,重起,,,,
5915,chhung3-kien,chhùng-kien,重建,,,,
5916,chhung3-kien,chhùng-kien,重見,,,,
5917,chhung3-kang5,chhùng-kâng,重耕,,,,
5918,chhung3-pai,chhùng-pai,崇拜,,,,
5919,chhung3-sia2,chhùng-siá,重寫,,,,
5920,chhung3-siu5,chhùng-siû,重修,,,,
5921,chhung3-sen5,chhùng-sên,重生,,,,
5922,chhung3-sin5,chhùng-sîn,重新,,,,
5923,chhung3-siin5,chhùng-sṳ̂n,重申,,,,
5924,chhung3-tet,chhùng-tet,重得,,,,
5925,chhung3-toi5,chhùng-tôi,蟲堆,,,,
5926,chhung3-vi3,chhùng-vì,重圍,,,,
5927,chhung3-e3,chhùng-è,蟲仔,,,,
5928,chhung3,chhùng,重,,,,
5929,chhung3,chhùng,蟲,,,,
5930,chhung3,chhùng,欉,,,,
5931,chia2-kung5,chiá-kûng,姐公,,,,
5932,chia2-pho3,chiá-phò,姐婆,,,,
5933,chiam2,chiám,蘸,,,,
5934,chiang2-chung5,chiáng-chûng,井中,,,,
5935,chiang2-heu2,chiáng-héu,井口,,,,
5936,chiang2-koi,chiáng-koi,井蓋,,,,
5937,chiang2-sui2,chiáng-súi,井水,,,,
5938,chiang2-sun3,chiáng-sùn,井sun3,,,,
5939,chiang2-tu2,chiáng-tú,井肚,,,,
5940,chiang2,chiáng,井,,,,
5941,chiau2-met8,chiáu-me̍t,剿滅,,,,
5942,chien2-chhu3,chién-chhù,剪除,,,,
5943,chien2-cho,chién-cho,剪做,,,,
5944,chien2-ko,chién-ko,剪過,,,,
5945,chien2-mo5,chién-mô,剪毛,,,,
5946,chien2-ton2,chién-tón,剪短,,,,
5947,chien2-thet,chién-thet,剪掉,,,,
5948,chien2-thon5,chién-thôn,剪斷,,,,
5949,chien2-to5,chién-tô,剪刀,,,,
5950,chien2-vu5,chién-vû,剪烏,,,,
5951,chien2-yong3-mo5-chhong3,chién-yòng-mô-chhòng,剪羊毛場,,,,
5952,chien2,chién,剪,,,,
5953,chiong2-kim5,chióng-kîm,獎金,,,,
5954,chiong2-li,chióng-li,獎勵,,,,
5955,chiong2-song2,chióng-sóng,獎賞,,,,
5956,chiu2-chho3,chiú-chhò,酒槽,,,,
5957,chiu2-chhii3,chiú-chhṳ̀,酒池,,,,
5958,chiu2-chi,chiú-chi,酒祭,,,,
5959,chiu2-chiin,chiú-chṳn,酒政,,,,
5960,chiu2-chui-sien5,chiú-chui-siên,酒醉仙,,,,
5961,chiu2-chui,chiú-chui,酒醉,,,,
5962,chiu2-cho5,chiú-chô,酒酢,,,,
5963,chiu2-fut,chiú-fut,酒窟,,,,
5964,chiu2-fong3,chiú-fòng,酒楻,,,,
5965,chiu2-fu3,chiú-fù,酒壺,,,,
5966,chiu2-kui2,chiú-kúi,酒鬼,,,,
5967,chiu2-kong5,chiú-kông,酒缸,,,,
5968,chiu2-mi,chiú-mi,酒味,,,,
5969,chiu2-ngiuk,chiú-ngiuk,酒肉,,,,
5970,chiu2-ngong3,chiú-ngòng,酒囊,,,,
5971,chiu2-pi5,chiú-pî,酒杯,,,,
5972,chiu2-sit8,chiú-si̍t,酒席,,,,
5973,chiu2-thung2,chiú-thúng,酒桶,,,,
5974,chiu2-thoi,chiú-thoi,酒袋,,,,
5975,chiu2-thu3,chiú-thù,酒徒,,,,
5976,chiu2-tien5,chiú-tiên,酒癲,,,,
5977,chiu2-ang5,chiú-âng,酒盎,,,,
5978,chiu2,chiú,酒,,,,
5979,chiung2-fai2,chiúng-fái,寵壞,,,,
5980,chiung2-yung3,chiúng-yùng,縱容,,,,
5981,chiung2,chiúng,縱,,,,
5982,chiap8-chiap8,chia̍p-chia̍p,輒輒,,,,
5983,chi-cha,chi-cha,漬炸,,,,
5984,chi-chiu2,chi-chiú,祭酒,,,,
5985,chi-chi-kun2,chi-chi-kún,吱吱滾,,,,
5986,chi-chi,chi-chi,漬漬,,,,
5987,chi-ko,chi-ko,祭過,,,,
5988,chi-li5,chi-lî,祭禮,,,,
5989,chi-ngiuk,chi-ngiuk,祭肉,,,,
5990,chi-pai,chi-pai,祭拜,,,,
5991,chi-phin2,chi-phín,祭品,,,,
5992,chi-sen5,chi-sên,祭牲,,,,
5993,chi-sii5-chong2,chi-sṳ̂-chóng,祭司長,,,,
5994,chi-sii5-yen,chi-sṳ̂-yen,祭司院,,,,
5995,chi-sii5,chi-sṳ̂,祭司,,,,
5996,chi-than3,chi-thàn,祭壇,,,,
5997,chi-tien2,chi-tién,祭典,,,,
5998,chi-vut8,chi-vu̍t,祭物,,,,
5999,chi,chi,祭,,,,
6000,chia-chhok8,chia-chho̍k,藉著,,,,
6001,chia-chhien3,chia-chhièn,借錢,,,,
6002,chia-fung5,chia-fûng,借風,,,,
6003,chia-hiet,chia-hiet,借歇,,,,
6004,chia-khieu2,chia-khiéu,藉口,,,,
6005,chia-ko,chia-ko,借過,,,,
6006,chia-loi3,chia-lòi,借來,,,,
6007,chia-mun,chia-mun,借問,,,,
6008,chia-pun5,chia-pûn,借給,,,,
6009,chia-thiau3,chia-thiàu,借條,,,,
6010,chia-teu5,chia-têu,借兜,,,,
6011,chia-yung,chia-yung,借用,,,,
6012,chia,chia,藉,,,,
6013,chia,chia,借,,,,
6014,chiak,chiak,跡,,,,
6015,chiam-hi,chiam-hi,佔去,,,,
6016,chiam-ten2,chiam-tén,佔著,,,,
6017,chiap-cheu2,chiap-chéu,接走,,,,
6018,chiap-chii2,chiap-chṳ́,接旨,,,,
6019,chiap-chhiuk,chiap-chhiuk,接觸,,,,
6020,chiap-choi,chiap-choi,接喙,,,,
6021,chiap-hi,chiap-hi,接去,,,,
6022,chiap-khiun,chiap-khiun,接近,,,,
6023,chiap-kien,chiap-kien,接見,,,,
6024,chiap-ko,chiap-ko,接過,,,,
6025,chiap-loi3,chiap-lòi,接來,,,,
6026,chiap-nap8,chiap-na̍p,接納,,,,
6027,chiap-ngip8,chiap-ngi̍p,接入,,,,
6028,chiap-ngi,chiap-ngi,接二,,,,
6029,chiap-ngim,chiap-ngim,接任,,,,
6030,chiap-phung,chiap-phung,接縫,,,,
6031,chiap-siuk8,chiap-siu̍k,接續,,,,
6032,chiap-su,chiap-su,接受,,,,
6033,chiap-sen5-pho3,chiap-sên-phò,接生婆,,,,
6034,chiap-sen5,chiap-sên,接生,,,,
6035,chiap-song5,chiap-sông,接上,,,,
6036,chiap-su5,chiap-sû,接收,,,,
6037,chiap-ten2,chiap-tén,接著,,,,
6038,chiap-to2,chiap-tó,接到,,,,
6039,chiap-thai,chiap-thai,接待,,,,
6040,chiap-thoi,chiap-thoi,接代,,,,
6041,chiap-to,chiap-to,接到,,,,
6042,chiap-vut8,chiap-vu̍t,接物,,,,
6043,chiap-yin,chiap-yin,接應,,,,
6044,chiap,chiap,接,,,,
6045,chien-pa2,chien-pá,箭靶,,,,
6046,chien-su2,chien-sú,箭手,,,,
6047,chien-thoi,chien-thoi,箭袋,,,,
6048,chien-theu3,chien-thèu,箭頭,,,,
6049,chien,chien,箭,,,,
6050,chiet-chii,chiet-chṳ,節制,,,,
6051,chiet-hi,chiet-hi,節氣,,,,
6052,chiet-khi3,chiet-khì,節期,,,,
6053,chiet-kui,chiet-kui,節季,,,,
6054,chiet-lin,chiet-lin,節令,,,,
6055,chiet-muk,chiet-muk,節目,,,,
6056,chiet-ngit,chiet-ngit,節日,,,,
6057,chiet,chiet,節,,,,
6058,chiet,chiet,截,,,,
6059,chim-ko,chim-ko,浸過,,,,
6060,chim-si2,chim-sí,浸死,,,,
6061,chim-sui2,chim-súi,浸水,,,,
6062,chim-ten2,chim-tén,浸著,,,,
6063,chim-to2,chim-tó,浸到,,,,
6064,chim-thet,chim-thet,浸掉,,,,
6065,chim,chim,浸,,,,
6066,chin-chhien3,chin-chhièn,進前,,,,
6067,chin-fam,chin-fam,進犯,,,,
6068,chin-hang3,chin-hàng,進行,,,,
6069,chin-khieu2,chin-khiéu,進口,,,,
6070,chin-kiun5,chin-kiûn,進軍,,,,
6071,chin-kung,chin-kung,進貢,,,,
6072,chin-kung5,chin-kûng,進攻,,,,
6073,chin-ngip8,chin-ngi̍p,進入,,,,
6074,chin-phu,chin-phu,進步,,,,
6075,chin-siu5,chin-siû,進修,,,,
6076,chin-to,chin-to,進到,,,,
6077,chin,chin,進,,,,
6078,chiok-van3,chiok-vàn,嚼環,,,,
6079,chiong-kon5,chiong-kôn,將官,,,,
6080,chit-chhoi3,chit-chhòi,積財,,,,
6081,chit-chhun3,chit-chhùn,積存,,,,
6082,chit-fat8,chit-fa̍t,責罰,,,,
6083,chit-khit8,chit-khi̍t,積極,,,,
6084,chit-mun,chit-mun,責問,,,,
6085,chit-ngim,chit-ngim,責任,,,,
6086,chit-ok,chit-ok,積惡,,,,
6087,chit-phi,chit-phi,責備,,,,
6088,chit-san,chit-san,積善,,,,
6089,chit-sii3,chit-sṳ̀,即時,,,,
6090,chit-ta2,chit-tá,責打,,,,
6091,chit-tuk,chit-tuk,責督,,,,
6092,chit,chit,積,,,,
6093,chiu-chiu-kun2,chiu-chiu-kún,啾啾袞,,,,
6094,chiuk-chiuk,chiuk-chiuk,足足,,,,
6095,chiuk-la,chiuk-la,足夠,,,,
6096,chiuk-ngiet8,chiuk-ngie̍t,足月,,,,
6097,chiuk-ngiak,chiuk-ngiak,足額,,,,
6098,chiuk-siit8,chiuk-sṳ̍t,足食,,,,
6099,chiuk,chiuk,足,,,,
6100,chiam5-chiam5,chiâm-chiâm,尖尖,,,,
6101,chiam5-cho,chiâm-cho,尖做,,,,
6102,chiam5-hi,chiâm-hi,尖去,,,,
6103,chiam5-li,chiâm-li,尖利,,,,
6104,chiam5-loi3,chiâm-lòi,尖來,,,,
6105,chiam5-man5,chiâm-mân,尖滿,,,,
6106,chiam5-nga3,chiâm-ngà,尖牙,,,,
6107,chiam5-nem5,chiâm-nêm,尖淰,,,,
6108,chiam5-ten2,chiâm-tén,尖著,,,,
6109,chiam5-to,chiâm-to,尖到,,,,
6110,chiam5,chiâm,尖,,,,
6111,chiang5-chiang5,chiâng-chiâng,靚靚,,,,
6112,chiang5-sam5,chiâng-sâm,靚衫,,,,
6113,chiang5-to,chiâng-to,靚到,,,,
6114,chiang5,chiâng,靚,,,,
6115,chiau5-sak8,chiâu-sa̍k,礁石,,,,
6116,chien5-cho,chiên-cho,煎做,,,,
6117,chien5-phan3,chiên-phàn,煎盤,,,,
6118,chien5,chiên,煎,,,,
6119,chiong5-chhiu,chiông-chhiu,將就,,,,
6120,chiong5-khiun,chiông-khiun,將近,,,,
6121,chiong5-kiun5,chiông-kiûn,將軍,,,,
6122,chiong5-kon5,chiông-kôn,牆竿,,,,
6123,chiong5-loi3,chiông-lòi,將來,,,,
6124,chiong5-oi,chiông-oi,將愛,,,,
6125,chiong5-sim5,chiông-sîm,將心,,,,
6126,chiong5-to,chiông-to,將到,,,,
6127,chiong5-vi,chiông-vi,將為,,,,
6128,chiong5-voi,chiông-voi,將會,,,,
6129,chiong5,chiông,將,,,,
6130,chiung5,chiûng,蹤,,,,
6131,cho-chu2,cho-chú,做主,,,,
6132,cho-chhet8,cho-chhe̍t,做賊,,,,
6133,cho-chhok8,cho-chho̍k,做著,,,,
6134,cho-chhin,cho-chhin,做盡,,,,
6135,cho-chhiam5,cho-chhiâm,做籤,,,,
