ID,FHL_DICT_Numeric,PFS_Numeric,PFS_Unicode,Hakfa_IPA,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
19358,thang5-lui3,thang1-lui2,thâng-lùi,[tʰaŋ˨˦] [lui˩˩],聽雷,,,,
19359,thang5-min3,thang1-min2,thâng-mìn,[tʰaŋ˨˦] [min˩˩],聽明,,,,
19360,thang5-ngin3,thang1-ngin2,thâng-ngìn,[tʰaŋ˨˦] [ɲin˩˩],聽人,,,,
19361,thang5-nui,thang1-nui4,thâng-nui,[tʰaŋ˨˦] [nui˥˥],廳內,,,,
19362,thang5-su2,thang1-su3,thâng-sú,[tʰaŋ˨˦] [su˧˩],聽守,,,,
19363,thang5-sin,thang1-sin4,thâng-sin,[tʰaŋ˨˦] [ɕin˥˥],聽信,,,,
19364,thang5-siung,thang1-siung4,thâng-siung,[tʰaŋ˨˦] [ɕiuŋ˥˥],聽訟,,,,
19365,thang5-su,thang1-su4,thâng-su,[tʰaŋ˨˦] [su˥˥],聽受,,,,
19366,thang5-ten2,thang1-ten3,thâng-tén,[tʰaŋ˨˦] [ten˧˩],聽著,,,,
19367,thang5-to2,thang1-to3,thâng-tó,[tʰaŋ˨˦] [to˧˩],聽到,,,,
19368,thang5-tet,thang1-tet6,thâng-tet,[tʰaŋ˨˦] [tet̚˨],聽得,,,,
19369,thang5-tho,thang1-tho4,thâng-tho,[tʰaŋ˨˦] [tʰo˥˥],聽道,,,,
19370,thang5-thong3,thang1-thong2,thâng-thòng,[tʰaŋ˨˦] [tʰoŋ˩˩],廳堂,,,,
19371,thang5-to,thang1-to4,thâng-to,[tʰaŋ˨˦] [to˥˥],聽到,,,,
19372,thang5-to5,thang1-to1,thâng-tô,[tʰaŋ˨˦] [to˨˦],聽多,,,,
19373,thang5,thang1,thâng,[tʰaŋ˨˦],聽,,,,
19374,thau5-thien5,thau1-thien1,thâu-thiên,[tʰau˨˦] [tʰien˨˦],滔天,,,,
19375,theu5-cheu2,theu1-cheu3,thêu-chéu,[tʰeu˨˦] [tseu˧˩],偷走,,,,
19376,theu5-chhii3,theu1-chhii2,thêu-chhṳ̀,[tʰeu˨˦] [tsʰɨ˩˩],偷chhii3,,,,
19377,theu5-khon,theu1-khon4,thêu-khon,[tʰeu˨˦] [kʰon˥˥],偷看,,,,
19378,theu5-khong,theu1-khong4,thêu-khong,[tʰeu˨˦] [kʰoŋ˥˥],偷囥,,,,
19379,theu5-kieu,theu1-kieu4,thêu-kieu,[tʰeu˨˦] [kieu˥˥],偷噭,,,,
19380,theu5-kiu,theu1-kiu4,thêu-kiu,[tʰeu˨˦] [kiu˥˥],偷救,,,,
19381,theu5-ko,theu1-ko4,thêu-ko,[tʰeu˨˦] [ko˥˥],偷過,,,,
19382,theu5-lok8,theu1-lok5,thêu-lo̍k,[tʰeu˨˦] [lok̚˥],偷落,,,,
19383,theu5-liu3,theu1-liu2,thêu-liù,[tʰeu˨˦] [liu˩˩],偷留,,,,
19384,theu5-lan5,theu1-lan1,thêu-lân,[tʰeu˨˦] [lan˨˦],偷懶,,,,
19385,theu5-loi3,theu1-loi2,thêu-lòi,[tʰeu˨˦] [loi˩˩],偷來,,,,
19386,theu5-ngip8,theu1-ngip5,thêu-ngi̍p,[tʰeu˨˦] [ɲip̚˥],偷入,,,,
19387,theu5-ngin3,theu1-ngin2,thêu-ngìn,[tʰeu˨˦] [ɲin˩˩],偷人,,,,
19388,theu5-na5,theu1-na1,thêu-nâ,[tʰeu˨˦] [na˨˦],偷拿,,,,
19389,theu5-siit8,theu1-siit5,thêu-sṳ̍t,[tʰeu˨˦] [sɨt̚˥],偷食,,,,
19390,theu5-seu,theu1-seu4,thêu-seu,[tʰeu˨˦] [seu˥˥],偷笑,,,,
19391,theu5-ta2,theu1-ta3,thêu-tá,[tʰeu˨˦] [ta˧˩],偷打,,,,
