ID,FHL_DICT_Numeric,PFS_Numeric,PFS_Unicode,Hakfa_IPA,Hanzi,Tai-gi,Hakfa-exp,Hua-gi,Eng-gi
1534,pi2-no3,pi3-no2,pí-nò,[pi˧˩] [no˩˩],比挪,,,,
1535,pi2-pai,pi3-pai4,pí-pai,[pi˧˩] [pai˥˥],比拜,,,,
1536,pi2-pak-siit8-sang3,pi3-pak6-siit5-sang2,pí-pak-sṳ̍t-sàng,[pi˧˩] [pak̚˨] [sɨt̚˥] [saŋ˩˩],比伯實城,,,,
1537,pi2-so2-thoi,pi3-so3-thoi4,pí-só-thoi,[pi˧˩] [so˧˩] [tʰoi˥˥],比所玳,,,,
1538,pi2-sat-liet8,pi3-sat6-liet5,pí-sat-lie̍t,[pi˧˩] [sat̚˨] [liet̚˥],比撒列,,,,
1539,pi2-sat-vi5-sang3,pi3-sat6-vi1-sang2,pí-sat-vî-sàng,[pi˧˩] [sat̚˨] [ʋi˨˦] [saŋ˩˩],比撒威城,,,,
1540,pi2-set,pi3-set6,pí-set,[pi˧˩] [set̚˨],比色,,,,
1541,pi2-sit,pi3-sit6,pí-sit,[pi˧˩] [ɕit̚˨],比悉,,,,
1542,pi2-sit-sang3,pi3-sit6-sang2,pí-sit-sàng,[pi˧˩] [ɕit̚˨] [saŋ˩˩],比悉城,,,,
1543,pi2-sit,pi3-sit6,pí-sit,[pi˧˩] [ɕit̚˨],彼息,,,,
1544,pi2-soi,pi3-soi4,pí-soi,[pi˧˩] [soi˥˥],比賽,,,,
1545,pi2-sun-ho3,pi3-sun4-ho2,pí-sun-hò,[pi˧˩] [sun˥˥] [ho˩˩],比遜河,,,,
1546,pi2-sun,pi3-sun4,pí-sun,[pi˧˩] [sun˥˥],比遜,,,,
1547,pi2-sa5,pi3-sa1,pí-sâ,[pi˧˩] [sa˨˦],比沙,,,,
1548,pi2-si5-ti2,pi3-si1-ti3,pí-sî-tí,[pi˧˩] [ɕi˨˦] [ti˧˩],彼西底,,,,
1549,pi2-so5-hai5,pi3-so1-hai1,pí-sô-hâi,[pi˧˩] [so˨˦] [hai˨˦],比梭溪,,,,
1550,pi2-so5,pi3-so1,pí-sô,[pi˧˩] [so˨˦],比梭,,,,
1551,pi2-sii5-ka5-san5,pi3-sii1-ka1-san1,pí-sṳ̂-kâ-sân,[pi˧˩] [sɨ˨˦] [ka˨˦] [san˨˦],比斯迦山,,,,
1552,pi2-sii5-ka5,pi3-sii1-ka1,pí-sṳ̂-kâ,[pi˧˩] [sɨ˨˦] [ka˨˦],比斯迦,,,,
1553,pi2-sii5-lan3,pi3-sii1-lan2,pí-sṳ̂-làn,[pi˧˩] [sɨ˨˦] [lan˩˩],比施蘭,,,,
1554,pi2-sii5-pa5,pi3-sii1-pa1,pí-sṳ̂-pâ,[pi˧˩] [sɨ˨˦] [pa˨˦],比斯巴,,,,
1555,pi2-sii5-tha5,pi3-sii1-tha1,pí-sṳ̂-thâ,[pi˧˩] [sɨ˨˦] [tʰa˨˦],比斯他,,,,
1556,pi2-sii5-thi3-la5,pi3-sii1-thi2-la1,pí-sṳ̂-thì-lâ,[pi˧˩] [sɨ˨˦] [tʰi˩˩] [la˨˦],比．施提拉,,,,
1557,pi2-sii5-yok-tha5,pi3-sii1-yok6-tha1,pí-sṳ̂-yok-thâ,[pi˧˩] [sɨ˨˦] [yok̚˨] [tʰa˨˦],比斯約他,,,,
1558,pi2-ti2-nga5,pi3-ti3-nga1,pí-tí-ngâ,[pi˧˩] [ti˧˩] [ŋa˨˦],比底雅,,,,
1559,pi2-tet,pi3-tet6,pí-tet,[pi˧˩] [tet̚˨],彼得,,,,
1560,pi2-thu2-lit8,pi3-thu3-lit5,pí-thú-li̍t,[pi˧˩] [tʰu˧˩] [lit̚˥],比土力,,,,
1561,pi2-thu2-li,pi3-thu3-li4,pí-thú-li,[pi˧˩] [tʰu˧˩] [li˥˥],彼土利,,,,
1562,pi2-thu2-ngi2,pi3-thu3-ngi3,pí-thú-ngí,[pi˧˩] [tʰu˧˩] [ɲi˧˩],比土珥,,,,
1563,pi2-that8,pi3-that5,pí-tha̍t,[pi˧˩] [tʰat̚˥],比達,,,,
1564,pi2-thit8-san5,pi3-thit5-san1,pí-thi̍t-sân,[pi˧˩] [tʰit̚˥] [san˨˦],比特山,,,,
1565,pi2-thot8-sang3,pi3-thot5-sang2,pí-tho̍t-sàng,[pi˧˩] [tʰot̚˥] [saŋ˩˩],比奪城,,,,
1566,pi2-thot8,pi3-thot5,pí-tho̍t,[pi˧˩] [tʰot̚˥],比奪,,,,
1567,pi2-thai-het,pi3-thai4-het6,pí-thai-het,[pi˧˩] [tʰai˥˥] [het̚˨],比大黑,,,,
1568,pi2-thai-nga5,pi3-thai4-nga1,pí-thai-ngâ,[pi˧˩] [tʰai˥˥] [ŋa˨˦],比大雅,,,,
1569,pi2-thai-siuk,pi3-thai4-siuk6,pí-thai-siuk,[pi˧˩] [tʰai˥˥] [ɕiuk̚˨],比大蓿,,,,
1570,pi2-than,pi3-than4,pí-than,[pi˧˩] [tʰan˥˥],比但,,,,
1571,pi2-thien3,pi3-thien2,pí-thièn,[pi˧˩] [tʰien˩˩],比田,,,,
1572,pi2-tha5-hi5-nga5,pi3-tha1-hi1-nga1,pí-thâ-hî-ngâ,[pi˧˩] [tʰa˨˦] [hi˨˦] [ŋa˨˦],比他希雅,,,,
1573,pi2-tha5,pi3-tha1,pí-thâ,[pi˧˩] [tʰa˨˦],比他,,,,
1574,pi2-thui5-ni3-sen2,pi3-thui1-ni2-sen3,pí-thûi-nì-sén,[pi˧˩] [tʰui˨˦] [ni˩˩] [sen˧˩],庇推尼省,,,,
1575,pi2-thui5-ni3,pi3-thui1-ni2,pí-thûi-nì,[pi˧˩] [tʰui˨˦] [ni˩˩],底推尼,,,,
1576,pi2-thi3-nga5,pi3-thi2-nga1,pí-thì-ngâ,[pi˧˩] [tʰi˩˩] [ŋa˨˦],比提雅,,,,
1577,pi2-to5-nen3,pi3-to1-nen2,pí-tô-nèn,[pi˧˩] [to˨˦] [nen˩˩],比多寧,,,,
1578,pi2-tung5-sang3,pi3-tung1-sang2,pí-tûng-sàng,[pi˧˩] [tuŋ˨˦] [saŋ˩˩],比東城,,,,
1579,pi2-tung5,pi3-tung1,pí-tûng,[pi˧˩] [tuŋ˨˦],比東,,,,
1580,pi2-tun5,pi3-tun1,pí-tûn,[pi˧˩] [tun˨˦],比敦,,,,
1581,pi2-vun2,pi3-vun3,pí-vún,[pi˧˩] [ʋun˧˩],比穩,,,,
1582,pi2-vu5-li-thai,pi3-vu1-li4-thai4,pí-vû-li-thai,[pi˧˩] [ʋu˨˦] [li˥˥] [tʰai˥˥],比烏利太,,,,
1583,pi2-a5-liuk8-chiin2,pi3-a1-liuk5-chiin3,pí-â-liu̍k-chṳ́n,[pi˧˩] [a˨˦] [liuk̚˥] [tsɨn˧˩],比亞錄鎮,,,,
1584,pi2-a5-liuk8,pi3-a1-liuk5,pí-â-liu̍k,[pi˧˩] [a˨˦] [liuk̚˥],比亞錄,,,,
1585,pi2-a5-li-nga5,pi3-a1-li4-nga1,pí-â-li-ngâ,[pi˧˩] [a˨˦] [li˥˥] [ŋa˨˦],比亞利雅,,,,
1586,pi2-let8,pi3-let5,pí-le̍t,[pi˧˩] [let̚˥],彼勒,,,,
1587,po2-lo3,po3-lo2,pó-lò,[po˧˩] [lo˩˩],保羅,,,,
1588,pun2-tu5,pun3-tu1,pún-tû,[pun˧˩] [tu˨˦],本都,,,,
1589,pak-fap-khi3,pak6-fap6-khi2,pak-fap-khì,[pak̚˨] [fap̚˨] [kʰi˩˩],伯法其,,,,
1590,pak-fo3-lun3-thi,pak6-fo2-lun2-thi4,pak-fò-lùn-thi,[pak̚˨] [fo˩˩] [lun˩˩] [tʰi˥˥],伯．和崙地,,,,
1591,pak-fo3-lun3,pak6-fo2-lun2,pak-fò-lùn,[pak̚˨] [fo˩˩] [lun˩˩],伯．和崙,,,,
1592,pak-hap8-ki5-lim3-khi5,pak6-hap5-ki1-lim2-khi1,pak-ha̍p-kî-lìm-khî,[pak̚˨] [hap̚˥] [ki˨˦] [lim˩˩] [kʰi˨˦],伯．哈基琳區,,,,
1593,pak-hap8-ki5-lim3,pak6-hap5-ki1-lim2,pak-ha̍p-kî-lìm,[pak̚˨] [hap̚˥] [ki˨˦] [lim˩˩],伯．哈基琳,,,,
1594,pak-hap8-kon5-sang3,pak6-hap5-kon1-sang2,pak-ha̍p-kôn-sàng,[pak̚˨] [hap̚˥] [kon˨˦] [saŋ˩˩],伯．哈干城,,,,
1595,pak-hap8-lan3,pak6-hap5-lan2,pak-ha̍p-làn,[pak̚˨] [hap̚˥] [lan˩˩],伯．哈蘭,,,,
1596,pak-hap8-sii-tha5,pak6-hap5-sii4-tha1,pak-ha̍p-sṳ-thâ,[pak̚˨] [hap̚˥] [sɨ˥˥] [tʰa˨˦],伯．哈示他,,,,
1597,pak-hot-la5,pak6-hot6-la1,pak-hot-lâ,[pak̚˨] [hot̚˨] [la˨˦],伯．曷拉,,,,
1598,pak-kap,pak6-kap6,pak-kap,[pak̚˨] [kap̚˨],伯．甲,,,,
1599,pak-kit-kap,pak6-kit6-kap6,pak-kit-kap,[pak̚˨] [kit̚˨] [kap̚˨],伯．吉甲,,,,
1600,pak-ka5-mat8,pak6-ka1-mat5,pak-kâ-ma̍t,[pak̚˨] [ka˨˦] [mat̚˥],伯．迦末,,,,
1601,pak-ka5-tet,pak6-ka1-tet6,pak-kâ-tet,[pak̚˨] [ka˨˦] [tet̚˨],伯．迦得,,,,
1602,pak-ki5-la5,pak6-ki1-la1,pak-kî-lâ,[pak̚˨] [ki˨˦] [la˨˦],百居拉,,,,
1603,pak-li-hap8,pak6-li4-hap5,pak-li-ha̍p,[pak̚˨] [li˥˥] [hap̚˥],伯．利合,,,,
1604,pak-li-hen3-ngin3,pak6-li4-hen2-ngin2,pak-li-hèn-ngìn,[pak̚˨] [li˥˥] [hen˩˩] [ɲin˩˩],伯利恆人,,,,
1605,pak-li-hen3-sang3,pak6-li4-hen2-sang2,pak-li-hèn-sàng,[pak̚˨] [li˥˥] [hen˩˩] [saŋ˩˩],伯利恆城,,,,
1606,pak-li-hen3,pak6-li4-hen2,pak-li-hèn,[pak̚˨] [li˥˥] [hen˩˩],伯利恆,,,,
1607,pak-li-pa5-vut,pak6-li4-pa1-vut6,pak-li-pâ-vut,[pak̚˨] [li˥˥] [pa˨˦] [ʋut̚˨],伯．利巴勿,,,,
1608,pak-la5-pa5,pak6-la1-pa1,pak-lâ-pâ,[pak̚˨] [la˨˦] [pa˨˦],伯．拉巴,,,,
1609,pak-la5-sii5-tu5,pak6-la1-sii1-tu1,pak-lâ-sṳ̂-tû,[pak̚˨] [la˨˦] [sɨ˨˦] [tu˨˦],伯拉斯都,,,,
1610,pak-leu3,pak6-leu2,pak-lèu,[pak̚˨] [leu˩˩],百樓,,,,
1611,pak-lo3-ko5-lo3,pak6-lo2-ko1-lo2,pak-lò-kô-lò,[pak̚˨] [lo˩˩] [ko˨˦] [lo˩˩],伯羅哥羅,,,,
1612,pak-mi2-en5,pak6-mi3-en1,pak-mí-ên,[pak̚˨] [mi˧˩] [en˨˦],伯．米恩,,,,
1613,pak-ma5-ka5-pok,pak6-ma1-ka1-pok6,pak-mâ-kâ-pok,[pak̚˨] [ma˨˦] [ka˨˦] [pok̚˨],伯．瑪加博,,,,
1614,pak-nen3-la5,pak6-nen2-la1,pak-nèn-lâ,[pak̚˨] [nen˩˩] [la˨˦],伯．寧拉,,,,
1615,pak-ni3-ki5,pak6-ni2-ki1,pak-nì-kî,[pak̚˨] [ni˩˩] [ki˨˦],百妮基,,,,
1616,pak-pi2-li,pak6-pi3-li4,pak-pí-li,[pak̚˨] [pi˧˩] [li˥˥],伯．比利,,,,
1617,pak-pha-liet8,pak6-pha4-liet5,pak-pha-lie̍t,[pak̚˨] [pʰa˥˥] [liet̚˥],伯．帕列,,,,
1618,pak-pha-siet,pak6-pha4-siet6,pak-pha-siet,[pak̚˨] [pʰa˥˥] [ɕiet̚˨],伯．帕薛,,,,
1619,pak-phi3-ngi2-sang3,pak6-phi2-ngi3-sang2,pak-phì-ngí-sàng,[pak̚˨] [pʰi˩˩] [ɲi˧˩] [saŋ˩˩],伯．毗珥城,,,,
1620,pak-phi3-ngi2,pak6-phi2-ngi3,pak-phì-ngí,[pak̚˨] [pʰi˩˩] [ɲi˧˩],伯．毗珥,,,,
1621,pak-pa5-lit8-mien2,pak6-pa1-lit5-mien3,pak-pâ-li̍t-mién,[pak̚˨] [pa˨˦] [lit̚˥] [mien˧˩],伯．巴力．勉,,,,
1622,pak-pa5-la5,pak6-pa1-la1,pak-pâ-lâ,[pak̚˨] [pa˨˦] [la˨˦],伯．巴拉,,,,
1623,pak-san,pak6-san4,pak-san,[pak̚˨] [san˥˥],伯．善,,,,
1624,pak-soi-thai-ngin3,pak6-soi4-thai4-ngin2,pak-soi-thai-ngìn,[pak̚˨] [soi˥˥] [tʰai˥˥] [ɲin˩˩],伯賽大人,,,,
1625,pak-soi-thai,pak6-soi4-thai4,pak-soi-thai,[pak̚˨] [soi˥˥] [tʰai˥˥],伯賽大,,,,
1626,pak-sii-mak8-ngin3,pak6-sii4-mak5-ngin2,pak-sṳ-ma̍k-ngìn,[pak̚˨] [sɨ˥˥] [mak̚˥] [ɲin˩˩],伯．示麥人,,,,
1627,pak-sii-mak8,pak6-sii4-mak5,pak-sṳ-ma̍k,[pak̚˨] [sɨ˥˥] [mak̚˥],伯．示麥,,,,
1628,pak-sii-tha5,pak6-sii4-tha1,pak-sṳ-thâ,[pak̚˨] [sɨ˥˥] [tʰa˨˦],伯．示他,,,,
1629,pak-suk-khi5,pak6-suk6-khi1,pak-suk-khî,[pak̚˨] [suk̚˨] [kʰi˨˦],伯夙區,,,,
1630,pak-suk,pak6-suk6,pak-suk,[pak̚˨] [suk̚˨],伯．夙,,,,
1631,pak-sut-khi5,pak6-sut6-khi1,pak-sut-khî,[pak̚˨] [sut̚˨] [kʰi˨˦],伯述區,,,,
1632,pak-sa5-sat-vong3,pak6-sa1-sat6-vong2,pak-sâ-sat-vòng,[pak̚˨] [sa˨˦] [sat̚˨] [ʋoŋ˩˩],伯沙撒王,,,,
1633,pak-sa5-sat,pak6-sa1-sat6,pak-sâ-sat,[pak̚˨] [sa˨˦] [sat̚˨],伯沙撒,,,,
1634,pak-san5,pak6-san1,pak-sân,[pak̚˨] [san˨˦],伯．珊,,,,
1635,pak-thit8-li-ngin3,pak6-thit5-li4-ngin2,pak-thi̍t-li-ngìn,[pak̚˨] [tʰit̚˥] [li˥˥] [ɲin˩˩],伯特利人,,,,
1636,pak-thit8-li-sang3,pak6-thit5-li4-sang2,pak-thi̍t-li-sàng,[pak̚˨] [tʰit̚˥] [li˥˥] [saŋ˩˩],伯特利城,,,,
1637,pak-thit8-li,pak6-thit5-li4,pak-thi̍t-li,[pak̚˨] [tʰit̚˥] [li˥˥],伯特利,,,,
1638,pak-thai-kun2,pak6-thai4-kun3,pak-thai-kún,[pak̚˨] [tʰai˥˥] [kun˧˩],伯．大袞,,,,
1639,pak-thai-ni3,pak6-thai4-ni2,pak-thai-nì,[pak̚˨] [tʰai˥˥] [ni˩˩],伯大尼,,,,
1640,pak-tha5-phu5-a5,pak6-tha1-phu1-a1,pak-thâ-phû-â,[pak̚˨] [tʰa˨˦] [pʰu˨˦] [a˨˦],伯．他普亞,,,,
1641,pak-thi3-sa5-sat,pak6-thi2-sa1-sat6,pak-thì-sâ-sat,[pak̚˨] [tʰi˩˩] [sa˨˦] [sat̚˨],伯提沙撒,,,,
1642,pak-tai5-pi2-la5-thai-yim5,pak6-tai1-pi3-la1-thai4-yim1,pak-tâi-pí-lâ-thai-yîm,[pak̚˨] [tai˨˦] [pi˧˩] [la˨˦] [tʰai˥˥] [yim˨˦],伯．低比拉太音,,,,
1643,pak-ya5-si5-mat8,pak6-ya1-si1-mat5,pak-yâ-sî-ma̍t,[pak̚˨] [ya˨˦] [ɕi˨˦] [mat̚˥],伯．耶西末,,,,
1644,pak-ya5-sii5-mat8,pak6-ya1-sii1-mat5,pak-yâ-sṳ̂-ma̍t,[pak̚˨] [ya˨˦] [sɨ˨˦] [mat̚˥],伯．耶施末,,,,
1645,pak-yi5-met8,pak6-yi1-met5,pak-yî-me̍t,[pak̚˨] [yi˨˦] [met̚˥],伯．以墨,,,,
1646,pak-yi5-siet,pak6-yi1-siet6,pak-yî-siet,[pak̚˨] [yi˨˦] [ɕiet̚˨],伯．以薛,,,,
1647,pak-yi5-thien-ngin3,pak6-yi1-thien4-ngin2,pak-yî-thien-ngìn,[pak̚˨] [yi˨˦] [tʰien˥˥] [ɲin˩˩],伯．伊甸人,,,,
1648,pak-yi5-thien,pak6-yi1-thien4,pak-yî-thien,[pak̚˨] [yi˨˦] [tʰien˥˥],伯．伊甸,,,,
1649,pak-a5-fut-la5,pak6-a1-fut6-la1,pak-â-fut-lâ,[pak̚˨] [a˨˦] [fut̚˨] [la˨˦],伯．亞弗拉,,,,
1650,pak-a5-la5-pa5,pak6-a1-la1-pa1,pak-â-lâ-pâ,[pak̚˨] [a˨˦] [la˨˦] [pa˨˦],伯．亞拉巴,,,,
1651,pak-a5-nap8-sang3,pak6-a1-nap5-sang2,pak-â-na̍p-sàng,[pak̚˨] [a˨˦] [nap̚˥] [saŋ˩˩],伯．亞納城,,,,
1652,pak-a5-nap8,pak6-a1-nap5,pak-â-na̍p,[pak̚˨] [a˨˦] [nap̚˥],伯．亞納,,,,
1653,pak-a5-nok,pak6-a1-nok6,pak-â-nok,[pak̚˨] [a˨˦] [nok̚˨],伯．亞諾,,,,
1654,pak-a5-pi2-let8-sang3,pak6-a1-pi3-let5-sang2,pak-â-pí-le̍t-sàng,[pak̚˨] [a˨˦] [pi˧˩] [let̚˥] [saŋ˩˩],伯．阿比勒城,,,,
1655,pak-a5-siit8-pi2-sang3,pak6-a1-siit5-pi3-sang2,pak-â-sṳ̍t-pí-sàng,[pak̚˨] [a˨˦] [sɨt̚˥] [pi˧˩] [saŋ˩˩],伯．亞實比城,,,,
1656,pak-a5-sii5-ma5-fut-ngin3,pak6-a1-sii1-ma1-fut6-ngin2,pak-â-sṳ̂-mâ-fut-ngìn,[pak̚˨] [a˨˦] [sɨ˨˦] [ma˨˦] [fut̚˨] [ɲin˩˩],伯亞斯瑪弗人,,,,
1657,pak-a5-vun3,pak6-a1-vun2,pak-â-vùn,[pak̚˨] [a˨˦] [ʋun˩˩],伯．亞文,,,,
1658,pan-ni3-khi3,pan4-ni2-khi2,pan-nì-khì,[pan˥˥] [ni˩˩] [kʰi˩˩],半尼其,,,,
1659,pat-lo3-pa5,pat6-lo2-pa1,pat-lò-pâ,[pat̚˨] [lo˩˩] [pa˨˦],八羅巴,,,,
1660,pat-pu-ka5,pat6-pu4-ka1,pat-pu-kâ,[pat̚˨] [pu˥˥] [ka˨˦],八布迦,,,,
1661,phu2-nga2,phu3-nga3,phú-ngá,[pʰu˧˩] [ŋa˧˩],普瓦,,,,
1662,phu2-thiet,phu3-thiet6,phú-thiet,[pʰu˧˩] [tʰiet̚˨],普鐵,,,,
1663,phu2-a5,phu3-a1,phú-â,[pʰu˧˩] [a˨˦],普阿,,,,
1664,phat8-mo5,phat5-mo1,pha̍t-mô,[pʰat̚˥] [mo˨˦],拔摩,,,,
1665,phat8-pa5-kap,phat5-pa1-kap6,pha̍t-pâ-kap,[pʰat̚˥] [pa˨˦] [kap̚˨],拔巴甲,,,,
1666,phat8-sii-pa5,phat5-sii4-pa1,pha̍t-sṳ-pâ,[pʰat̚˥] [sɨ˥˥] [pa˨˦],拔示芭,,,,
1667,phet8-ka5-mo5,phet5-ka1-mo1,phe̍t-kâ-mô,[pʰet̚˥] [ka˨˦] [mo˨˦],別迦摩,,,,
1668,phet8-ka5,phet5-ka1,phe̍t-kâ,[pʰet̚˥] [ka˨˦],別加,,,,
1669,phet8-sii-pa5-sang3,phet5-sii4-pa1-sang2,phe̍t-sṳ-pâ-sàng,[pʰet̚˥] [sɨ˥˥] [pa˨˦] [saŋ˩˩],別是巴城,,,,
1670,phet8-sii-pa5,phet5-sii4-pa1,phe̍t-sṳ-pâ,[pʰet̚˥] [sɨ˥˥] [pa˨˦],別是巴,,,,
1671,phet8-si5-puk,phet5-si1-puk6,phe̍t-sî-puk,[pʰet̚˥] [ɕi˨˦] [puk̚˨],別西卜,,,,
1672,pha-fut,pha4-fut6,pha-fut,[pʰa˥˥] [fut̚˨],帕弗,,,,
1673,pha-kiet,pha4-kiet6,pha-kiet,[pʰa˥˥] [kiet̚˨],帕結,,,,
1674,pha-let8-thi3-ngin3,pha4-let5-thi2-ngin2,pha-le̍t-thì-ngìn,[pʰa˥˥] [let̚˥] [tʰi˩˩] [ɲin˩˩],帕勒提人,,,,
1675,pha-lu-a5,pha4-lu4-a1,pha-lu-â,[pʰa˥˥] [lu˥˥] [a˨˦],帕路亞,,,,
1676,pha-loi3,pha4-loi2,pha-lòi,[pʰa˥˥] [loi˩˩],帕萊,,,,
1677,pha-ma5-sii5-tha5,pha4-ma1-sii1-tha1,pha-mâ-sṳ̂-thâ,[pʰa˥˥] [ma˨˦] [sɨ˨˦] [tʰa˨˦],帕瑪斯他,,,,
1678,pha-nap8,pha4-nap5,pha-na̍p,[pʰa˥˥] [nap̚˥],帕納,,,,
1679,pha-sii5-lu5-se-ngin3,pha4-sii1-lu1-se4-ngin2,pha-sṳ̂-lû-se-ngìn,[pʰa˥˥] [sɨ˨˦] [lu˨˦] [se˥˥] [ɲin˩˩],帕斯魯細人,,,,
1680,pha-sii5-lu5-se,pha4-sii1-lu1-se4,pha-sṳ̂-lû-se,[pʰa˥˥] [sɨ˨˦] [lu˨˦] [se˥˥],帕斯魯細,,,,
1681,pha-thai-la5,pha4-thai4-la1,pha-thai-lâ,[pʰa˥˥] [tʰai˥˥] [la˨˦],帕大喇,,,,
1682,pha-thiet,pha4-thiet6,pha-thiet,[pʰa˥˥] [tʰiet̚˨],帕鐵,,,,
1683,pha-thi3-a5-ngin3,pha4-thi2-a1-ngin2,pha-thì-â-ngìn,[pʰa˥˥] [tʰi˩˩] [a˨˦] [ɲin˩˩],帕提亞人,,,,
1684,pha-thi3-a5,pha4-thi2-a1,pha-thì-â,[pʰa˥˥] [tʰi˩˩] [a˨˦],帕提亞,,,,
1685,pha-thi3,pha4-thi2,pha-thì,[pʰa˥˥] [tʰi˩˩],帕提,,,,
1686,phi-li,phi4-li4,phi-li,[pʰi˥˥] [li˥˥],備利,,,,
1687,phi-la5,phi4-la1,phi-lâ,[pʰi˥˥] [la˨˦],備拉,,,,
1688,phien-fu-ngi2,phien4-fu4-ngi3,phien-fu-ngí,[pʰien˥˥] [fu˥˥] [ɲi˧˩],便．戶珥,,,,
1689,phien-hap8-nam3,phien4-hap5-nam2,phien-ha̍p-nàm,[pʰien˥˥] [hap̚˥] [nam˩˩],便．哈南,,,,
1690,phien-hap8-that8-vong3,phien4-hap5-that5-vong2,phien-ha̍p-tha̍t-vòng,[pʰien˥˥] [hap̚˥] [tʰat̚˥] [ʋoŋ˩˩],便．哈達王,,,,
1691,phien-hap8-that8,phien4-hap5-that5,phien-ha̍p-tha̍t,[pʰien˥˥] [hap̚˥] [tʰat̚˥],便．哈達,,,,
1692,phien-het-yi5-let8,phien4-het6-yi1-let5,phien-het-yî-le̍t,[pʰien˥˥] [het̚˨] [yi˨˦] [let̚˥],便．亥伊勒,,,,
1693,phien-hi5-sit,phien4-hi1-sit6,phien-hî-sit,[pʰien˥˥] [hi˨˦] [ɕit̚˨],便．希悉,,,,
1694,phien-ki5-phet8,phien4-ki1-phet5,phien-kî-phe̍t,[pʰien˥˥] [ki˨˦] [pʰet̚˥],便基別,,,,
1695,phien-nga5-men2-chhuk8,phien4-nga1-men3-chhuk5,phien-ngâ-mén-chhu̍k,[pʰien˥˥] [ŋa˨˦] [men˧˩] [tsʰuk̚˥],便雅憫族,,,,
1696,phien-nga5-men2-mun3,phien4-nga1-men3-mun2,phien-ngâ-mén-mùn,[pʰien˥˥] [ŋa˨˦] [men˧˩] [mun˩˩],便雅憫門,,,,
1697,phien-nga5-men2-ngin3,phien4-nga1-men3-ngin2,phien-ngâ-mén-ngìn,[pʰien˥˥] [ŋa˨˦] [men˧˩] [ɲin˩˩],便雅憫人,,,,
1698,phien-nga5-men2-thi,phien4-nga1-men3-thi4,phien-ngâ-mén-thi,[pʰien˥˥] [ŋa˨˦] [men˧˩] [tʰi˥˥],便雅憫地,,,,
1699,phien-nga5-men2,phien4-nga1-men3,phien-ngâ-mén,[pʰien˥˥] [ŋa˨˦] [men˧˩],便雅憫,,,,
1700,phien-ngo3-ni3,phien4-ngo2-ni2,phien-ngò-nì,[pʰien˥˥] [ŋo˩˩] [ni˩˩],便俄尼,,,,
1701,phien-so5-het,phien4-so1-het6,phien-sô-het,[pʰien˥˥] [so˨˦] [het̚˨],便．梭黑,,,,
1702,phien-ti2-kap,phien4-ti3-kap6,phien-tí-kap,[pʰien˥˥] [ti˧˩] [kap̚˨],便．底甲,,,,
1703,phien-a5-mi2,phien4-a1-mi3,phien-â-mí,[pʰien˥˥] [a˨˦] [mi˧˩],便亞米,,,,
1704,phien-a5-pi2-na5-that8,phien4-a1-pi3-na1-that5,phien-â-pí-nâ-tha̍t,[pʰien˥˥] [a˨˦] [pi˧˩] [na˨˦] [tʰat̚˥],便．亞比拿達,,,,
1705,phit-hon2,phit6-hon3,phit-hón,[pʰit̚˨] [hon˧˩],辟罕,,,,
1706,phit-la5,phit6-la1,phit-lâ,[pʰit̚˨] [la˨˦],辟拉,,,,
1707,phit-tham,phit6-tham4,phit-tham,[pʰit̚˨] [tʰam˥˥],辟探,,,,
1708,pho-la5-tha5,pho4-la1-tha1,pho-lâ-thâ,[pʰo˥˥] [la˨˦] [tʰa˨˦],破拉他,,,,
1709,phu-pak-liu3,phu4-pak6-liu2,phu-pak-liù,[pʰu˥˥] [pak̚˨] [liu˩˩],部百流,,,,
1710,phu-tiu5-li,phu4-tiu1-li4,phu-tiû-li,[pʰu˥˥] [tiu˨˦] [li˥˥],部丟利,,,,
1711,phu5-let8,phu1-let5,phû-le̍t,[pʰu˨˦] [let̚˥],普勒,,,,
1712,phu5-nun,phu1-nun4,phû-nun,[pʰu˨˦] [nun˥˥],普嫩,,,,
1713,phang3-siu5-pi2-la5-to5,phang2-siu1-pi3-la1-to1,phàng-siû-pí-lâ-tô,[pʰaŋ˩˩] [ɕiu˨˦] [pi˧˩] [la˨˦] [to˨˦],龐修彼拉多,,,,
1714,phang3-siu5,phang2-siu1,phàng-siû,[pʰaŋ˩˩] [ɕiu˨˦],龐修,,,,
1715,phi3-lan3,phi2-lan2,phì-làn,[pʰi˩˩] [lan˩˩],毗蘭,,,,
1716,phi3-nu2-yi5-let8,phi2-nu3-yi1-let5,phì-nú-yî-le̍t,[pʰi˩˩] [nu˧˩] [yi˨˦] [let̚˥],毗努伊勒,,,,
1717,phi3-ngi2-san5,phi2-ngi3-san1,phì-ngí-sân,[pʰi˩˩] [ɲi˧˩] [san˨˦],毗珥山,,,,
1718,phi3-ngi2,phi2-ngi3,phì-ngí,[pʰi˩˩] [ɲi˧˩],毗珥,,,,
1719,phi3-ni3-la5,phi2-ni2-la1,phì-nì-lâ,[pʰi˩˩] [ni˩˩] [la˨˦],毗尼拉,,,,
1720,phi3-ni3-na5,phi2-ni2-na1,phì-nì-nâ,[pʰi˩˩] [ni˩˩] [na˨˦],毗尼拿,,,,
1721,phi3-sii5-ka5-san5,phi2-sii1-ka1-san1,phì-sṳ̂-kâ-sân,[pʰi˩˩] [sɨ˨˦] [ka˨˦] [san˨˦],毗斯迦山,,,,
